Valid Up To date cannot be before Valid From date,لا يمكن أن يكون تاريخ الصلاحية حتى قبل تاريخ الصلاحية من,
Valid Up To date not in Fiscal Year {0},تاريخ الصلاحية حتى ليس في السنة المالية {0},
Valid for Countries,صالحة للبلدان,
Valid from and valid upto fields are mandatory for the cumulative,صالحة من وحقول تصل صالحة إلزامية للتراكمية,
Valid till Date cannot be before Transaction Date,صالح حتى التاريخ لا يمكن أن يكون قبل تاريخ المعاملة,
Valid till date cannot be before transaction date,صالحة حتى تاريخ لا يمكن أن يكون قبل تاريخ المعاملة,
Validate Applied Rule,التحقق من صحة القاعدة المطبقة,
Validate Components and Quantities Per BOM,التحقق من المكونات والكميات لكل قائمة مواد,
Validate Negative Stock,التحقق من المخزون السالب,
Validate Pricing Rule,التحقق من قاعدة التسعير,
Validate Selling Price for Item Against Purchase Rate or Valuation Rate,تحقق من صحة سعر البيع للسلعة مقابل معدل الشراء أو معدل التقييم,
Validate Stock on Save,التحقق من المخزون عند الحفظ,
Validity Details,تفاصيل الصلاحية,
Validity and Usage,الصلاحية والاستخدام,
Validity in Days,الصلاحية في أيام,
Validity period of this quotation has ended.,انتهت فترة صلاحية هذا الاقتباس.,
Valuation,تقييم,
Valuation (I - K),التقييم (I - K),
Valuation Field Type,نوع حقل التقييم,
Valuation Method,طريقة التقييم,
Valuation Rate,سعر التقييم,
Valuation Rate (In / Out),معدل التقييم (داخل / خارج),
Valuation Rate Missing,معدل التقييم مفقود,
"Valuation Rate for the Item {0}, is required to do accounting entries for {1} {2}.",معدل التقييم للعنصر {0} ، مطلوب لإجراء إدخالات محاسبية لـ {1} {2}.,
Valuation Rate is mandatory if Opening Stock entered,معدل التقييم إلزامي إذا ادخلت قيمة مبدئية للمخزون,
Valuation Rate required for Item {0} at row {1},معدل التقييم مطلوب للبند {0} في الصف {1},
Valuation and Total,التقييم والمجموع,
Valuation rate for customer provided items has been set to zero.,تم تعيين معدل التقييم للأصناف المقدمة من العميل إلى صفر.,
Valuation rate for the item as per Sales Invoice (Only for Internal Transfers),معدل تقييم الصنف حسب فاتورة المبيعات (فقط للتحويلات الداخلية),
Valuation type charges can not be marked as Inclusive,لا يمكن تحديد رسوم نوع التقييم على أنها شاملة,
Valuation type charges can not marked as Inclusive,لا يمكن وضع علامة على رسوم التقييم على انها شاملة,
Value (G - D),القيمة (G - D),
Value ({0}),القيمة ({0}),
Value After Depreciation,القيمة بعد الاستهلاك,
Value Based Inspection,فحص قائم على القيمة,
Value Details,تفاصيل القيمة,
Value Or Qty,القيمة أو الكمية,
Value Proposition,موقع ذو قيمة,
Value Type,نوع القيمة,
Value as on,القيمة في تاريخ,
Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4},يجب أن تكون قيمة للسمة {0} ضمن مجموعة من {1} إلى {2} في الزيادات من {3} لالبند {4},
Value of Goods,قيمة البضائع,
Value of New Capitalized Asset,قيمة الأصل الجديد المرسمل,
Value of New Purchase,قيمة الشراء الجديد,
Value of Scrapped Asset,قيمة الأصل المخرد,
Value of Sold Asset,قيمة الأصل المباع,
Value of goods cannot be 0,لا يمكن أن تكون قيمة البضائع 0,
Value or Qty,القيمة أو الكمية,
Vara,فارا,
Variable Name,اسم المتغير,
Variables,المتغيرات,
Variance,فرق,
Variance ({}),التباين ({}),
Variant,مختلف,
Variant Attribute Error,خطأ في سمة المتغير,
Variant Attributes,سمات متفاوتة,
Variant BOM,المتغير BOM,
Variant Based On,البديل القائم على,
Variant Based On cannot be changed,لا يمكن تغيير المتغير بناءً على,
Variant Details Report,تفاصيل تقرير التقرير,
Variant Field,الحقل البديل,
Variant Item,عنصر متغير,
Variant Items,العناصر المتغيرة,
Variant Of,البديل من,
Variant creation has been queued.,وقد وضعت قائمة الانتظار في قائمة الانتظار.,
Variants,المتغيرات,
Vehicle,مركبة,
Vehicle Date,تاريخ تسجيل المركبة,
Vehicle No,رقم المركبة,
Vehicle Number,عدد المركبات,
Vehicle Value,قيمة المركبة,
Vendor Invoice,فاتورة المورد,
Vendor Invoices,فواتير الموردين,
Vendor Name,اسم البائع,
Venture Capital,رأس المال الاستثماري,
Verification failed please check the link,فشل التحقق، يرجى التحقق من الرابط,
Verified By,التحقق من,
Verify Email,التحقق من البريد الإلكتروني,
Versta,فرستا,
Via Customer Portal,عبر بوابة العملاء,
Via Landed Cost Voucher,عبر سند التكلفة الهابطة,
Vice President,نائب الرئيس,
Video,فيديو,
Video Settings,اعدادات الفيديو,
View Account Coverage,عرض تغطية الحساب,
View BOM Update Log,عرض سجل تحديث قائمة المواد,
View Chart of Accounts,عرض الرسم البياني للحسابات,
View Data Based on,عرض البيانات بناءً على,
View Exchange Gain/Loss Journals,عرض قيود ربح/خسارة سعر الصرف,
View Leads,مشاهدة العملاء المحتملون,
View Ledger,عرض القيود,
View Ledgers,عرض الدفاتر,
View MRP,عرض سعر التجزئة المقترح,
View Now,عرض الآن,
View Stock Balance,عرض رصيد المخزون,
View Stock Ledger,عرض سجل المخزون,
View Type,نوع العرض,
View attachments,عرض المرفقات,
View call log,عرض سجل المكالمات,
Vimeo,فيميو,
Virtual DocType,نوع مستند افتراضي,
Visit the forums,زيارة المنتديات,
Visited,زار,
Visits,الزيارات,
Voice,صوت,
Voice Call Settings,إعدادات المكالمات الصوتية,
Volt-Ampere,فولت-أمبير,
Voucher,سند,
Voucher #,سند #,
Voucher Detail No,تفاصيل سند لا,
Voucher Detail Reference,مرجع تفاصيل السند,
Voucher No,رقم السند,
Voucher No is mandatory,رقم السند إلزامي,
Voucher Qty,كمية السند,
Voucher Subtype,النوع الفرعي للسند,
Voucher Type,نوع السند,
Voucher {0} is over-allocated by {1},تم تخصيص السند {0} بأكثر من اللازم بمقدار {1},
Voucher-wise Balance,الرصيد حسب السند,
Vouchers,قسائم,
"WARNING: Exotel app has been separated from ERPNext, please install the app to continue using Exotel integration.",تحذير: تم فصل تطبيق Exotel عن ERPNext، يرجى تثبيت التطبيق لمتابعة استخدام تكامل Exotel.,
WIP Composite Asset,أصل مركب قيد التشغيل,
WIP WH,مستودع قيد التشغيل,
WIP Warehouse,مستودع WIP,
WIP Work Orders,أوامر العمل قيد التنفيذ,
Wages,أجور,
Waiting for payment...,في انتظار الدفع...,
Walk In,عميل غير مسجل,
Warehouse Capacity Summary,ملخص سعة المستودع,
Warehouse Capacity for Item '{0}' must be greater than the existing stock level of {1} {2}.,يجب أن تكون سعة المستودع للصنف '{0}' أكبر من مستوى المخزون الحالي وهو {1} {2}.,
Warehouse Contact Info,معلومات الأتصال بالمستودع,
Warehouse Detail,تفاصيل المستودع,
Warehouse Details,تفاصيل المستودع,
Warehouse Disabled?,المستودع معطل؟,
Warehouse Name,اسم المستودع,
Warehouse Settings,إعدادات المستودع,
